message	in use	Calling Object	Specific Property	Action	Board Version	# Actuators	decimal_id	id	ASCII equiv	Applicable	Direction	Send byte length	Send payload	Reply msg length	Status Byte	Receiver reply payload	Remark
AFM_Start_Frequency_Sweep_AD5932	1	AFM	Frequency Sweep	start	AD5932		114	72	r	PCB2	1	2		6	N	NumPts*4 bytes (Amp1 byte 1, Amp1 byte 2, Phase1 byte 1, Phase1 byte 2, etc…)
AFM_Start_Frequency_Sweep_AD9837	1	AFM	Frequency Sweep	start	AD9837		113	71	q	PCB3	1	2		6	N	NumPts*4 bytes (val1 byte 1, val1 byte 2, val2 byte 1, val2 byte 2, etc…) amp and phase
AFM_Start_Scan	1	AFM	scan	start		4	81	51	Q	4ACT	1	2		-1	N	Nothing
AFM_Step_Scan	1	AFM	scan	step		4	82	52	R	4ACT	1	2		2	N	8 points of 6 bytes each: (z_amp_adc byte 1, z_amp_adc byte 2, z_offset_adc byte 1, z_offset_adc byte 2,  z_phase_adc byte 1, z_phase_adc byte 2))
AFM_Stop_Auto_Approach	1	AFM	auto approach	stop			155	9b		PCB3	1	2	None	2	N
DAC_Read	1	DAC		read			98	62	b		1	3	(DAC#)	5	N	3 bytes (DAC#, DAC val byte 1, DAC val byte 2)
DAC_Set_Max_Value	1	DAC	Max Value	set			38	26	&		1	5	(DAC#, val byte 1, val byte 2)	4	Y	2 byes (DAC channel #, status byte)
DAC_Write	1	DAC		write			97	61	a		1	5	(DAC#, val byte 1, val byte 2)	3	Y	1 byte ("o" marks completed)
DDS_Set_AD5932	0	DDS		set	AD5932		117	75	u	PCB2	1	8	(startf byte1, startf byte2, increment byte1, increment byte2, numpts byte1, numpts byte2)	2	N	Nothing
DDS_Set_AD9837	1	DDS		set	AD9837		110	6E	n	PCB3	1	10	(Fstart LSB low, Fstart LSB high, Fstart MSB low, Fstart MSB high, increment LSB, increment MSB, numpts LSB, numpts MSB)	2	N	Nothing	Send data to set for dds AD9837
Motor_Run_Continuous	1	Motor	Continuous	run			51	33	3		1	2	None	2	N
Motor_Set_Direction	1	Motor	Direction	set			54	36	6		1	3	Enum: Forward/Lower platform "f" 0x66, Backward/raise platform "b" 0x62	2	N
Motor_Set_Microstep	1	Motor	microstep	set			48	30	0		1	3	microsteps byte Enum: 0: full steps, 1: 2 microsteps, 2: 4 microsteps, 3: 8; 4: 16; 5: 32 microsteps	2	N
Motor_Set_Single_Step	1	Motor	single step	set			49	31	1		1	2	None	2	N
Motor_Set_Speed	1	Motor	Speed	set			50	32	2		1	4	(Speed byte1, Speed byte2). Very slow 0x0000 (DEC0) to Very fast 0x66BC (DEC26300)	2	N
Motor_Set_State_Asleep	1	Motor	State Asleep	set			52	34	4		1	2	None	2	N
Motor_Set_State_Awake	1	Motor	State Awake	set			53	35	5		1	2	None	2	N
Motor_Stop_Continuous	1	Motor	Continuous	stop			55	37	7		1	2	None	2	N
PGA_Set	1	PGA		set			84	54	T	PCB3	1	4	2 bytes (channel, value 8bit )	2	N
PID_Disable	1	PID		disable			104	68	h		1	2		2	N	Nothing
PID_Enable	1	PID		enable			103	67	g		1	2		2	N	Nothing
PID_Set_Derivative	1	PID	derivative	set			100	64	d		1	6		2	N	Nothing
PID_Set_Integral	1	PID	integral	set			105	69	i		1	6		2	N	Nothing
PID_Set_Proportional	1	PID	proportional	set			112	70	p		1	6		2	N	Nothing
PID_Set_Setpoint	1	PID	setpoint	set			115	73	s		1	4	(val byte 1, val byte 2)	2	N	Nothing
Serial_Worker_Raise_Invalid_Command	0	Serial Worker	Invalid Command	raise			241	F1			2	3	An invalid message ID received. 	0	N	No Reply Needed	MCU sends this ID when it receives a command it does not recognize. Check firmware/client version.
Stage_Set_Pulse_Step	0	Stage	Pulse Step	set			109	6D	m		1	2		3	Y	Stat Byte
Stage_Set_Pulse_Width	0	Stage	Pulse Width	set			106	6A	j		1	3	(val)	3	Y	Stat Byte	Pulse Width
